Name,Mother_Name,Father_Name,Password,Email,Mobile
Anand Gupta,Sunita Gupta,Upendra Nath Gupta,12345,anand@gmail.com,9876543211
Aryan Jain,Sunita Gupta,Upendra Nath Gupta,12345,aryan@gmail.com,9876543244
Charitraya Goyal,Shalini Goyal,Kishore Kumar Goyal,12345,charitraya@gmail.com,9876543233
Chirayu Jain,Neetu Jain,Nirmal Kumar Jain,12345,chirayu@gmail.com,9876543222
Divyam Jain,Meenakshi Jain,Prashant Jain,12345,divyam@gmail.com,9876543111
Diya Jain,Nikki Jain,Manish Kumar Jain,12345,diya@gmail.com,9876523211
Kuldeep,Kamlesh,Radheshyam Prajapat,12345,kuldeep@gmail.com,9846543211
Manshikha Shekhawat,Saroj Kanwar,Himmat Singh Shekhawat,12345,manshikha@gmail.com,9876545211
Nidhi Agarwal,Shivani Gupta,Vishnu Kumar Gupta,12345,nidhi@gmail.com,9876643211
Priyanshi Sharma,Sunita Sharma,Mukesh Sharma,12345,priyanshi@gmail.com,9876543511
Rohit Singh,Aaychuki Devi,Sanjay Singh,12345,rohit@gmail.com,9876543251
Sahil khoda,Sunita Meena,Sita Ram Meena,12345,sahil@gmail.com,9876543241
Toshit Bhatia,Bhatia,Bhatia,12345,toshit@gmail.com,9876543231
Utsav Maheshwari,Anju Maheshwari,Alok Kumar Maheshwari,12345,utsav@gmail.com,9876543211
Vidit Jain,Kavita Jain,Vinod Jain,12345,vidit@gmail.com,9876543212
