Name,Mobile,Password,Father_Name,Mother_Name,Email
student1,123456789,12345,father1,mother1,student1@test.com
student2,223456789,12345,father2,mother2,student2@test.com
student3,323456789,12345,father3,mother3,student3@test.com
student4,423456789,12345,father4,mother4,student4@test.com
student5,523456789,12345,father5,mother5,student5@test.com
student6,623456789,12345,father6,mother6,student6@test.com
student7,723456789,12345,father7,mother7,student7@test.com
student8,823456789,12345,father8,mother8,student8@test.com
student9,923456789,12345,father9,mother9,student9@test.com
student10,103456789,12345,father10,mother10,student10@test.com
